INFO 2025-03-12 16:18:25,081 autoreload Watching for file changes with StatReloader
INFO 2025-03-12 16:21:52,120 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 17754
INFO 2025-03-12 16:21:52,141 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-03-12 16:21:52,268 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:22:01,634 basehttp "POST /admin/tasks/task/ HTTP/1.1" 302 0
INFO 2025-03-12 16:22:01,811 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 17879
INFO 2025-03-12 16:22:01,937 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:22:02,197 basehttp "GET /static/admin/img/icon-alert.svg HTTP/1.1" 200 504
INFO 2025-03-12 16:22:06,530 basehttp "GET /admin/tasks/task/15/change/ HTTP/1.1" 200 13372
INFO 2025-03-12 16:22:06,685 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:22:09,475 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 17754
INFO 2025-03-12 16:22:09,600 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:22:28,575 basehttp "POST /admin/tasks/task/ HTTP/1.1" 200 11376
INFO 2025-03-12 16:22:28,590 basehttp "GET /static/admin/js/cancel.js HTTP/1.1" 304 0
INFO 2025-03-12 16:22:39,205 basehttp "POST /admin/tasks/task/ HTTP/1.1" 302 0
INFO 2025-03-12 16:22:39,333 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 14339
INFO 2025-03-12 16:22:39,443 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:22:44,851 basehttp "GET /admin/tasks/task/?_facets=True HTTP/1.1" 200 14666
INFO 2025-03-12 16:22:44,984 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:22:45,118 basehttp "GET /static/admin/img/icon-hidelink.svg HTTP/1.1" 200 784
INFO 2025-03-12 16:23:00,930 basehttp "GET /admin/tasks/task/add/ HTTP/1.1" 200 13041
INFO 2025-03-12 16:23:01,146 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:23:21,534 basehttp "POST /admin/tasks/task/add/ HTTP/1.1" 302 0
INFO 2025-03-12 16:23:21,690 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 14819
INFO 2025-03-12 16:23:21,813 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 16:23:34,620 basehttp "GET /admin/tasks/task/17/change/ HTTP/1.1" 200 13288
INFO 2025-03-12 16:23:34,752 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-03-12 18:32:37,345 log Too Many Requests: /rate-limited/
INFO 2025-03-12 19:20:41,083 autoreload Watching for file changes with StatReloader
INFO 2025-03-12 19:20:53,964 basehttp "GET /admin/tasks/task/17/change/ HTTP/1.1" 200 13288
INFO 2025-03-12 19:20:54,219 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-12 19:20:54,667 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-12 19:20:54,690 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-12 19:20:54,714 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-12 19:20:54,724 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
